path_id,vulnerability_signature,baseline_rank,entry_service_name,entry_service_port,entry_protocol,entry_asset_type,entry_zone,entry_asset_criticality,target_asset_type,target_zone,target_criticality_score,vulnerability_count,cve_count,nvt_only_count,cve_coverage,maximum_cvss,mean_cvss,minimum_cvss,maximum_epss,mean_epss,kev_count,kev_present,hop_count,exploit_stage_count,access_condition_count,scenario_assumption_count,observed_condition_count,average_access_confidence,baseline_risk_score,baseline_risk_level
PATH-0052,CVE-2004-2763,94,http,443,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,5.8,5.8,5.8,0.02178,0.02178,0,0,7,1,2,1,1,0.75,38.195,Medium
PATH-0110,CVE-2004-2763,95,http,80,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,5.8,5.8,5.8,0.02178,0.02178,0,0,7,1,2,1,1,0.75,38.195,Medium
PATH-0019,CVE-2008-7253,96,http,80,tcp,vulnerable_server,dmz,3.0,database_server,restricted,5.0,1,1,0,1.0,5.8,5.8,5.8,0.02093,0.02093,0,0,7,1,2,1,1,0.75,38.1723,Medium
PATH-0058,CVE-2008-7253,97,http,443,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,5.8,5.8,5.8,0.02093,0.02093,0,0,7,1,2,1,1,0.75,38.1723,Medium
PATH-0117,CVE-2008-7253,98,http,80,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,5.8,5.8,5.8,0.02093,0.02093,0,0,7,1,2,1,1,0.75,38.1723,Medium
PATH-0021,CVE-2009-2823,99,http,80,tcp,vulnerable_server,dmz,3.0,database_server,restricted,5.0,1,1,0,1.0,5.8,5.8,5.8,0.01684,0.01684,0,0,7,1,2,1,1,0.75,38.063,Medium
PATH-0061,CVE-2009-2823,100,http,443,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,5.8,5.8,5.8,0.01684,0.01684,0,0,7,1,2,1,1,0.75,38.063,Medium
PATH-0120,CVE-2009-2823,101,http,80,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,5.8,5.8,5.8,0.01684,0.01684,0,0,7,1,2,1,1,0.75,38.063,Medium
PATH-0014,CVE-2007-3008,102,http,80,tcp,vulnerable_server,dmz,3.0,database_server,restricted,5.0,1,1,0,1.0,5.8,5.8,5.8,0.01454,0.01454,0,0,7,1,2,1,1,0.75,38.0016,Medium
PATH-0055,CVE-2007-3008,103,http,443,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,5.8,5.8,5.8,0.01454,0.01454,0,0,7,1,2,1,1,0.75,38.0016,Medium
PATH-0114,CVE-2007-3008,104,http,80,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,5.8,5.8,5.8,0.01454,0.01454,0,0,7,1,2,1,1,0.75,38.0016,Medium
PATH-0031,CVE-2012-2223,105,http,80,tcp,vulnerable_server,dmz,3.0,database_server,restricted,5.0,1,1,0,1.0,5.8,5.8,5.8,0.01344,0.01344,0,0,7,1,2,1,1,0.75,37.9722,Medium
PATH-0071,CVE-2012-2223,106,http,443,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,5.8,5.8,5.8,0.01344,0.01344,0,0,7,1,2,1,1,0.75,37.9722,Medium
PATH-0133,CVE-2012-2223,107,http,80,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,5.8,5.8,5.8,0.01344,0.01344,0,0,7,1,2,1,1,0.75,37.9722,Medium
PATH-0013,CVE-2006-4683,108,http,80,tcp,vulnerable_server,dmz,3.0,database_server,restricted,5.0,1,1,0,1.0,5.8,5.8,5.8,0.0133,0.0133,0,0,7,1,2,1,1,0.75,37.9685,Medium
PATH-0054,CVE-2006-4683,109,http,443,tcp,web_server,dmz,4.0,database_server,restricted,5.0,1,1,0,1.0,5.8,5.8,5.8,0.0133,0.0133,0,0,7,1,2,1,1,0.75,37.9685,Medium
